youtubeId,itemLabel,performerLabel,youtubeViews,year,genreLabel
JGwWNGJdvx8,Shape of You,Ed Sheeran,5534218047.0,2017.0,"short film, dance-pop, musical film"
RgKAFK5djSk,See You Again,Charlie Puth,5016965543.0,2015.0,"hip hop music, pop rap"
OPf0YbXqDm0,Uptown Funk,Mark Ronson,4362269292.0,2014.0,"soul, funk, boogie, disco-pop"
tYvFa2ARD24,Uptown Funk,Mark Ronson,4362269292.0,2014.0,"soul, funk, boogie, disco-pop"
k85mRPqvMbE,Axel F,Crazy Frog,3694049867.0,2005.0,dance-pop
09R8_2nJtjg,Sugar,Maroon 5,3419351627.0,2015.0,pop rock
fRh_vgS2dFE,Sorry,Justin Bieber,3414580379.0,2015.0,"moombahton, tropical house, dancehall pop"
CevxZvSJLk8,Roar,Katy Perry,3303409092.0,2013.0,pop music
hT_nvWreIhg,Counting Stars,OneRepublic,3232986271.0,2013.0,folk rock
lp-EO5I60KA,Thinking Out Loud,Ed Sheeran,3214952719.0,2014.0,"soft rock, blue-eyed soul"
FzG4uDgje3M,Dame Tu Cosita,El Chombo,3188180963.0,2018.0,reggaeton
YQHsXMglC9A,Hello,Adele,3118743682.0,2015.0,"baroque pop, soul"
nfWlot6h_JM,Shake It Off,Taylor Swift,3065305346.0,2014.0,dance-pop
0KSOMA3QBU0,Dark Horse,Juicy J,3003501469.0,2013.0,"hip hop music, electropop, pop rap, trap music"
YqeW9_5kURI,Lean On,DJ Snake,2998735854.0,2015.0,"moombahton, dance music, electronic dance music, bounce music"
b8I-7Wk_Vbc,Bailando,Gente de Zona,2988109918.0,2014.0,Latin pop
NUsoVlDFqZg,Bailando,Gente de Zona,2988109918.0,2014.0,Latin pop
aJOTlE1K90k,Girls Like You,Cardi B,2987592731.0,2018.0,"pop music, pop rock"
RBumgq5yVrA,Let Her Go,Passenger,2940359388.0,2012.0,folk rock
APHgDFRpCi0,Mi Gente,Willy William,2885044060.0,2017.0,"moombahton, reggaeton"
wnJ6LuUFpMo,Mi Gente,Willy William,2885044060.0,2017.0,"moombahton, reggaeton"
2Vv-BfVoq4g,Perfect,Ed Sheeran,2786523928.0,2017.0,ballade
